Evaluations;Max fitness;Diversity;Mutation rate
400;2.2067844820418155E-7;8.99111777600292;1.0
1000;1.8389870683681796E-8;0.9015968678952596;1.0
2008;2.2228185424976535E-8;0.8447848281870403;1.1146009288482621
3016;6.06813966420713E-6;1.3443853590714463;0.8005463239395119
4000;6.166971192171176E-12;2.126805133019678;1.9142393179254604
5008;6.612075717165556E-7;3.1035134262940662;0.42674139471908157
6016;2.3985750612239325E-8;4.512224791331359;0.8159732332308849
7000;6.050402673031762E-11;0.013953316723790523;0.5415218527153212
8008;1.0768761917876198E-11;0.9810209404863575;1.3903441558244412
9016;1.46999093074367E-10;2.2066715371619283;0.6609741947144874
10000;2.1863375346614362E-9;1.814853292032357;0.39174369197903164
11008;5.021655854960895E-7;0.03318565818928441;0.0660997539277761
12016;1.0436935353573848E-6;0.04769725366497309;0.052469889578347695
13000;1.8583381474318177E-7;0.08481177579726402;0.07683358347331823
14008;2.5117196882284696E-7;1.6509516482688449;0.019052311950071437
15016;4.2165993816315716E-10;1.3043219280898841;0.01739945802799471
16000;6.382462647794696E-11;4.893210553921744;0.018282742511452794
17008;7.350424517380721E-11;2.211832706596034;0.013620415950888637
18016;5.843557218436584E-11;3.320484355934834;0.09110104398036334
19000;3.2900264585071315E-7;2.048810499054868;0.07462235951725672
20008;2.248976464141231E-10;2.6528191477753675;0.1835840121767557
21016;1.8567573841593488E-8;1.6738038829930526;0.0262919414598314
22000;1.1374178490636162E-11;0.2335685797301408;0.00774984240811311
23008;7.733034477474664E-11;0.030583140902846872;0.0028786195904035227
24016;3.1882833068468805E-13;1.870919994557674;0.0016401198546301607
25000;7.558671075650427E-8;0.047307091169943624;0.0016978134640134818
26008;9.226941393320786E-13;0.5147158707399992;3.343799879861367E-4
27016;1.733904142228645E-13;0.4319791820741843;2.34393412326445E-4
28000;0.001618165535946932;1.0179532129252988;1.5045230674428923E-4
29008;1.5411100342351734E-4;5.3640096836236263E-14;1.5045230674428923E-4
30016;1.3664242343719017E-8;0.8998440788820024;1.3471100366591702E-4
31000;1.4807414811969899E-6;0.9953208116105385;9.105502117983335E-5
32008;4.71840944948477E-11;0.05485256148675603;1.192055339838509E-4
33016;3.759084217808326E-9;0.14371670682204882;7.429630647089358E-5
34000;3.7756490949796634E-8;0.004999822601622783;8.315018623628432E-5
35008;5.255497557904367E-8;0.6483961920931749;3.878990263752252E-5
36016;1.9332330952176492E-11;0.425371860200449;8.409937763832963E-5
37000;1.3194085923536472E-7;0.0804484310942126;7.134472269393341E-5
38008;1.18099556922201E-10;0.4187151943422613;2.5022305444250855E-4
39016;1.8334706223432562E-7;1.7170691747656253;7.95657476296468E-4
40000;1.6136765062524147E-12;1.2710727073386545;4.156517710700538E-5
41008;2.8901798757908194E-13;0.04135379214534915;2.6813991200814225E-5
42016;7.625054079531518E-9;0.3700548734299311;4.809919723263809E-6
43000;1.1337671355808303E-6;0.04326715836599792;2.920055126609703E-6
44008;1.9516303398045166E-4;0.012264434245446185;2.4201903836401025E-6
45016;0.02342015531870356;0.006683821986873233;9.206822267764846E-8
