Evaluations;Max fitness;Diversity;Mutation rate
4600;9.999991767489423;1.7869245011480135E-7;2.744229241046513E-8
4700;9.99999176750437;5.238644362572603E-8;2.3444983553176516E-8
4800;9.99999176753113;2.723955340017141E-7;5.316084918423479E-8
4900;9.99999176755265;2.914503404364503E-7;6.180138118328093E-7
5000;9.999991767572116;4.996529870400088E-7;1.1788142344741695E-6
5100;9.999991767601268;1.6273812931162473E-8;1.8103080522327252E-9
5200;9.999991767618823;7.543950108713338E-7;6.611828632625557E-7
5300;9.99999176765169;5.681896077526415E-7;4.224892442711946E-7
5400;9.999991767659914;2.432901819110229E-7;2.02358090156579E-8
5500;9.999991767667597;2.8817780832311157E-8;6.926021936245667E-8
5600;9.999991767690418;5.619430409130263E-7;5.2241834821891685E-8
5700;9.99999176770028;6.559204292878049E-7;5.384999446302914E-7
5800;9.999991767716955;1.8492596882233108E-8;1.9590631979843317E-8
5900;9.999991767725371;4.785647908129484E-8;2.8170701822751975E-8
6000;9.999991767736635;6.852138962905952E-8;1.7874291190005903E-8
6100;9.999991767752107;5.921956860954634E-7;1.186350483567562E-7
6200;9.999991767767577;3.788188366622402E-8;1.536840171163E-8
6300;9.999991767777543;2.1081716347765597E-7;6.623185521432468E-8
6400;9.999991767784488;1.8386537608729726E-9;5.7063264976815465E-8
6500;9.999991767787636;2.1640447419598345E-8;1.8275555155929097E-7
6600;9.999991767798473;1.4957332749128835E-8;8.120621232050462E-9
6700;9.999991767810211;1.1158900044231411E-7;2.3422180742929462E-8
6800;9.999991767827746;3.060621156156321E-7;1.0009715136844765E-9
6900;9.99999176785577;4.078174674436692E-7;4.48176438404197E-7
7000;9.999991767866058;1.3226622526051745E-7;3.553489962312426E-8
7100;9.999991767883083;1.7270072717391046E-8;4.074558652617114E-9
7200;9.999991767895358;3.7525347841046246E-8;9.006203809471967E-8
7300;9.99999176791363;3.25131002501138E-7;1.987725726499502E-7
7400;9.99999176794227;1.5035364098086467E-8;8.274019199274936E-9
7500;9.999991767972213;3.4487345085760287E-7;2.0731676064699765E-7
7600;9.999991768025327;7.789805326348836E-8;6.838606173153135E-8
7700;9.999991768036306;2.1178892845019663E-7;2.194400852270778E-7
7800;9.99999176804042;1.0749295896217141E-9;4.107646672611743E-8
7900;9.999991768050071;5.83793395432232E-8;3.978174585441412E-8
8000;9.999991768060678;2.4344047373876994E-7;1.67767918683119E-8
8100;9.999991768070315;2.725680575903954E-8;2.1441142480493444E-8
8200;9.999991768095185;1.6763015424254013E-7;6.888845452286325E-8
8300;9.999991768101259;1.5330379158268266E-8;3.190920803637676E-8
8400;9.99999176810715;3.7543500357239733E-8;1.3410855262359365E-8
8500;9.99999176811369;8.806454399471351E-8;2.8462928450681134E-7
8600;9.999991768124193;5.083849900138962E-7;3.0629696699635595E-8
8700;9.999991768155112;8.37456477465107E-8;4.8972256533471494E-8
8800;9.999991768177823;3.980848464151453E-8;2.2851540732760107E-8
8900;9.999991768185115;4.942162411206326E-8;1.0932821808272667E-10
