Evaluations;Max fitness;Diversity;Mutation rate
100;1.1157113096564588E-6;9.057253119169005;1.0
1000;0.1900461398727338;0.0010274889059804576;7.807793643137667E-4
2000;0.22338311113758708;4.0070258972040875E-4;2.9136034040248745E-4
3000;0.23143300465891775;8.589671333823412E-4;6.518454648130942E-4
4000;0.23766261308135078;2.175583733553232E-4;1.960967426359869E-5
5000;0.2449796977219882;4.612691806334101E-4;9.982929471076501E-4
6000;0.2501156405806022;6.213232038958431E-5;1.3513872711407512E-4
7000;0.25269889625219266;9.481365894067147E-5;2.9915039618216194E-7
8000;0.2543201307452158;1.3096965744062685E-4;2.5036442804434354E-5
9000;0.2558047381038474;7.97675740222401E-5;2.528534016992452E-6
10000;0.25733816117679215;1.998382849780347E-4;1.0834836725090295E-4
11000;0.25854114887999363;6.179312898434924E-4;2.0272205422059605E-4
12000;0.2596950859443518;6.23201232032522E-5;7.231810742603135E-5
13000;0.26013187009700245;9.991626231278087E-5;3.109206123838756E-5
14000;0.26060259470857333;3.258271592168654E-5;1.5653006690219352E-4
15000;0.2608424798632158;3.5492063888610195E-4;1.22778836578341E-4
16000;0.2610896105370816;2.4391891462836136E-4;1.9453519457441983E-4
17000;0.2614424986888178;7.064350277234704E-6;3.1847922262378815E-6
18000;0.2616039493222708;5.51974304448571E-6;6.673877806465299E-7
19000;0.26173140898501235;9.714354294283807E-5;9.985055631544765E-5
20000;0.2618103799650239;1.6357388329292895E-5;7.571488273609526E-7
21000;0.2618651125302841;4.36824098549085E-5;6.881531392563632E-5
22000;0.26189956305333834;6.2907066666726975E-6;2.5631384859842504E-6
23000;0.26192825770207045;2.371165361821399E-6;8.4027728514146E-5
24000;0.26194406641664914;1.8354777480092386E-5;1.9311171780505956E-5
25000;0.2619533311628357;1.1299813691545105E-6;2.318263551760017E-6
26000;0.26196424118771755;6.619067442521217E-5;8.840578934904971E-5
27000;0.26197077854323236;1.8941425094739022E-7;1.8845501762261288E-6
28000;0.2619757656059371;2.485117867581328E-5;2.4705701227710245E-5
29000;0.26197906284279143;2.7373873692350195E-6;2.16526912388195E-5
30000;0.2619805526884945;1.8467326963923707E-6;1.6598986404175862E-7
31000;0.2619820325376494;6.40227911120962E-7;2.4455385932906745E-7
32000;0.2619828959647085;1.255658782303358E-6;1.023489386761247E-7
33000;0.26198357644318004;9.742723399727853E-6;1.2282142550783256E-5
34000;0.261984757717219;1.2051360688471293E-5;9.784694492381094E-6
35000;0.26198534062304846;7.512567881672663E-7;1.7266451475767034E-7
36000;0.2619856707590264;2.0923161405364556E-6;2.003645830442594E-6
