Evaluations;Max fitness;Diversity;Mutation rate
100;3.0069810484491975E-7;9.0813813791956;1.0
1000;0.016350615436610143;0.0052586795554320515;0.02540461415371021
2000;0.02392815392462432;3.6195892453587066E-4;3.1116557179131066E-4
3000;0.02488761766007819;8.751345993773379E-6;5.42814513502847E-6
4000;0.025262714686883757;3.7915630743773425E-4;3.901822159311013E-4
5000;0.025355762432112974;3.914962248224951E-5;1.0054809111310132E-4
6000;0.02543297225118933;1.2860780611511871E-5;1.7533604696077085E-5
7000;0.025528129322836855;2.2913281779156858E-5;4.435660584722041E-9
8000;0.02555054065977076;6.59912797528776E-5;1.5955978345425854E-5
9000;0.02556907863919755;1.3108098201790557E-5;3.8215460494046565E-7
10000;0.02557881181355124;5.31020380263725E-6;2.868250673628778E-6
11000;0.02558577856697854;3.963993109884803E-6;3.459100456544805E-5
12000;0.025591548345557567;4.948561077135751E-5;3.1629311190676206E-5
13000;0.02559518528286795;2.0087614326206844E-5;6.92049091838763E-7
14000;0.025597218221675398;6.140662215110756E-5;7.10238964239222E-6
15000;0.02559820784193479;3.840218327770894E-5;1.9589022606799606E-5
16000;0.02559933305917378;2.0822569777950324E-5;8.940648802232797E-6
17000;0.025599945835774327;4.578006620059622E-6;6.417704140581979E-6
18000;0.025600387057945803;6.632724867454498E-5;3.0908292914356266E-5
19000;0.025600895635222394;1.0434915276310978E-14;3.1556327518244155E-4
20000;0.02560115683657502;5.875907197650291E-7;5.5947007265106815E-6
21000;0.025601278405239965;1.670286757353156E-7;3.257760202792842E-6
22000;0.025601403925873126;2.1929083460413397E-9;1.5126037802499948E-5
23000;0.02560146698375032;1.104568285571342E-6;2.6076129732186195E-8
24000;0.02560155171230824;2.1102670921217133E-8;6.296038606868347E-10
25000;0.02560160044259289;3.0333175188098717E-5;2.9266510627321812E-6
26000;0.02560162490490192;3.7556336024288047E-6;3.097147698177694E-8
27000;0.02560164035816792;1.118579366788225E-6;9.7638531458583E-7
28000;0.02560165625166816;2.708621260635594E-7;2.4548712854048915E-7
29000;0.025601664829146505;9.84447618838992E-7;7.248742457866371E-7
30000;0.025601672788841998;7.468992468173148E-8;5.900058662318144E-8
31000;0.025601677381014137;3.167698519645119E-7;1.4926975613420618E-7
32000;0.02560168018333772;2.6044692489370357E-8;2.23320629279899E-8
33000;0.02560168267619477;5.119451370861098E-7;1.3667377965162251E-7
34000;0.02560168338643718;1.820954674041187E-7;8.288266710329747E-7
35000;0.02560168375546573;2.433549198172958E-7;5.2409672681154745E-8
36000;0.02560168404925255;1.635354198539115E-7;3.6607467303649326E-7
37000;0.025601684291917084;6.5591554857212E-7;4.054561016495983E-7
38000;0.02560168441383473;5.744905667189115E-8;2.998786850764742E-8
39000;0.02560168456961341;6.1122576985999255E-9;5.715686536269872E-10
40000;0.025601684660709664;5.193476729582271E-7;2.0489088363553264E-7
41000;0.025601684690558763;2.6707513675508527E-13;2.632591296579052E-14
42000;0.02560168471096392;4.760483165530587E-8;1.6126404877959546E-7
43000;0.025601684728526072;1.4714206549884354E-9;1.3983074616470406E-8
44000;0.02560168474637374;6.024170432330099E-8;6.082814164323841E-8
45000;0.025601684757940182;2.962656984468173E-7;3.3190527190969275E-7
46000;0.0256016847622748;1.0181909236327699E-8;2.906432291847383E-10
47000;0.02560168476592498;1.1237408365972327E-8;2.425354042484079E-8
48000;0.025601684768063498;3.704731597276364E-10;4.2274737233632945E-11
49000;0.025601684770480186;8.855899036066571E-9;5.509226679131633E-8
50000;0.025601684771656717;1.601306400364564E-8;9.555893515310275E-14
51000;0.025601684773159574;8.043691927562613E-9;8.328349977657618E-11
52000;0.02560168477374073;2.7046858362366765E-8;1.7992078523136545E-9
53000;0.025601684774221617;5.05899105747024E-10;2.968565998897148E-9
