island_count,epoch_size,fitness_sharing,sigma,migration_size,population_size,parent_count,arity,recombination_p,k,evaluationName,seed,MBF,stdBF,meanConv,stdConv
1,0,true,0.1588275862,0,200,24,3,0.99,2,SchaffersEvaluation,11059,8.0953463549,1.0599087348,17194.4,10855.4971438438
1,0,true,0.1656896552,0,200,24,3,1,2,SchaffersEvaluation,7375,8.2245739049,0.6298818416,11981.6,3351.9237222825
1,0,true,0.1656896552,0,200,24,3,0.99,2,SchaffersEvaluation,23371,7.9436287017,1.7865000399,17849.6,19902.5741611481
1,0,true,0.1725517241,0,200,24,3,1,2,SchaffersEvaluation,12936,8.4687382355,0.5980536739,16572.8,13530.1595910765
1,0,true,0.1725517241,0,200,24,3,0.99,2,SchaffersEvaluation,12210,8.2536405465,0.6012389188,19097.6,13459.1229669693
1,0,true,0.1794137931,0,200,24,3,1,2,SchaffersEvaluation,11012,7.9568775446,0.9414126278,14002.4,16743.8608880987
1,0,true,0.1794137931,0,200,24,3,0.99,2,SchaffersEvaluation,15797,8.101679874,0.729025481,20187.2,17828.3392204658
1,0,true,0.1862758621,0,200,24,3,1,2,SchaffersEvaluation,2241,7.4953796393,1.5662721568,19462.4,13284.5808003113
1,0,true,0.1862758621,0,200,24,3,0.99,2,SchaffersEvaluation,28657,7.5634609608,1.7022053841,16299.2,9622.2031240252
1,0,true,0.193137931,0,200,24,3,1,2,SchaffersEvaluation,13799,8.2222220477,0.5662069836,11938.4,8157.6451896365
1,0,true,0.193137931,0,200,24,3,0.99,2,SchaffersEvaluation,26750,7.887309094,0.6845476783,11328.8,3442.3739715493
1,0,true,0.2,0,200,24,3,1,2,SchaffersEvaluation,24828,7.9865755484,0.9403765976,15672.8,11198.1801092856
1,0,true,0.2,0,200,24,3,0.99,2,SchaffersEvaluation,16439,8.2402998342,0.2515938019,12797.6,3983.8619253182
