island_count;epoch_size;fitness_sharing;sigma;population_size;parent_count;arity;recombination_p;k;evaluationName;seed;MBF;stdBF;meanConv;stdConv
1;0;false;0;30;4;4;0.5;4;KatsuuraEvaluation;27718;4.075754161822517e-08;1.0611306118336366e-07;30.0;0.0
1;0;false;0;30;4;4;0.5;6;SchaffersEvaluation;32267;1.347386370924553e-08;2.5238858217847543e-08;30.0;0.0
1;0;false;0;30;4;4;0.5;6;KatsuuraEvaluation;29632;3.007348442178485e-09;9.01469022897447e-09;30.0;0.0
1;0;false;0;30;4;4;0.5;12;SchaffersEvaluation;10059;7.914830806625211e-07;1.6569531562138458e-06;30.0;0.0
1;0;false;0;30;4;4;0.5;12;KatsuuraEvaluation;20158;4.4411855725378764e-08;8.260061424085725e-08;30.0;0.0
1;0;false;0;30;4;4;0.5;24;SchaffersEvaluation;2962;0.00020651873748681824;0.0005724709436156573;30.0;0.0
1;0;false;0;30;4;4;0.5;24;KatsuuraEvaluation;4129;8.198164021279464e-07;2.33487592676345e-06;30.0;0.0
1;0;false;0;30;6;2;0.5;2;SchaffersEvaluation;25208;0.4720303492826726;0.7242474532879651;21600.0;24948.74746355015
1;0;false;0;30;6;2;0.5;2;KatsuuraEvaluation;23935;0.026792269213845577;0.04811074537348305;5403.0;2609.1533109420766
1;0;false;0;30;6;2;0.5;3;SchaffersEvaluation;1280;0.4479688739943981;0.9549999953445728;13800.0;15542.200616386343
1;0;false;0;30;6;2;0.5;3;KatsuuraEvaluation;14201;0.0019424266027426175;0.0053622430416849;4800.0;1469.6938456699068
1;0;false;0;30;6;2;0.5;4;SchaffersEvaluation;28841;0.24603752612972835;0.3155802611058113;15600.0;18580.635080642427
1;0;false;0;30;6;2;0.5;4;KatsuuraEvaluation;26086;0.0009273796422310313;0.0014913140737295239;4500.0;2765.8633371878664
1;0;false;0;30;6;2;0.5;6;SchaffersEvaluation;6305;0.2268425389109924;0.2853445799108674;7500.0;6184.658438426491
1;0;false;0;30;6;2;0.5;6;KatsuuraEvaluation;27393;0.0027992282115383597;0.004780705393577735;5103.0;2336.553230722553
1;0;false;0;30;6;2;0.5;12;SchaffersEvaluation;27520;0.2849564478587759;0.43337171020420884;27900.0;21044.9518887547
1;0;false;0;30;6;2;0.5;12;KatsuuraEvaluation;7791;0.026129142332315208;0.049432242031181614;3906.0;2333.09751189272
1;0;false;0;30;6;2;0.5;24;SchaffersEvaluation;1033;0.15837525911775596;0.3096077871787862;35400.0;31458.54414940399
1;0;false;0;30;6;2;0.5;24;KatsuuraEvaluation;4646;0.015511144729793947;0.04341379976277826;6003.0;3280.865891803565
1;0;false;0;30;6;3;0.5;2;SchaffersEvaluation;26165;0.40036780668450633;0.6027794831405193;11400.0;9079.647570252933
1;0;false;0;30;6;3;0.5;2;KatsuuraEvaluation;20749;0.12266629732637135;0.2125950817014899;6000.0;2683.281572999748
1;0;false;0;30;6;3;0.5;3;SchaffersEvaluation;26156;0.4728003070593763;0.5283374984307632;14400.0;16853.48628622577
1;0;false;0;30;6;3;0.5;3;KatsuuraEvaluation;27547;0.01818689173362607;0.037024800662149124;6300.0;2830.1943396169813
1;0;false;0;30;6;3;0.5;4;SchaffersEvaluation;8765;0.3106883421975901;0.7448324890929067;16200.0;18648.324321504064
1;0;false;0;30;6;3;0.5;4;KatsuuraEvaluation;21721;3.0677863435333876e-05;4.335323205863212e-05;3306.0;2090.584607233106
1;0;false;0;30;6;3;0.5;6;SchaffersEvaluation;8888;0.17835669581937486;0.1929823770321459;19200.0;20267.214904865443
1;0;false;0;30;6;3;0.5;6;KatsuuraEvaluation;29591;0.002116086361152831;0.004306681242674795;4800.0;1469.6938456699068
1;0;false;0;30;6;3;0.5;12;SchaffersEvaluation;6883;0.10435076910048527;0.239024554355949;41100.0;30210.759672672913
1;0;false;0;30;6;3;0.5;12;KatsuuraEvaluation;13593;9.19053813993411e-05;0.0002709974455503565;7506.0;4490.004899774609
1;0;false;0;30;6;3;0.5;24;SchaffersEvaluation;21905;0.13966832378662292;0.173745599826463;44103.0;30942.292756032155
1;0;false;0;30;6;3;0.5;24;KatsuuraEvaluation;5467;0.003800712113772778;0.010554557881305736;6906.0;8378.982277102632
1;0;false;0;30;6;6;0.5;2;SchaffersEvaluation;23617;0.10505175614428411;0.11392357416245219;22200.0;25533.507397143854
1;0;false;0;30;6;6;0.5;2;KatsuuraEvaluation;9454;0.005756007369916299;0.017036646258708796;7503.0;3847.7371271956717
1;0;false;0;30;6;6;0.5;3;SchaffersEvaluation;1604;0.05723501572640549;0.11242710622756441;33903.0;27493.393406416748
1;0;false;0;30;6;6;0.5;3;KatsuuraEvaluation;22280;0.0003337490858353936;0.0004997325709457937;9903.0;6002.55620548446
1;0;false;0;30;6;6;0.5;4;SchaffersEvaluation;15591;0.04718161976076524;0.08535896150885332;21600.0;21373.81575666825
1;0;false;0;30;6;6;0.5;4;KatsuuraEvaluation;24973;0.0005731103180200613;0.001669533467564538;8103.0;4652.040520029894
1;0;false;0;30;6;6;0.5;6;SchaffersEvaluation;13893;0.019350717633611764;0.03012807112773317;34503.0;28559.465698783653
1;0;false;0;30;6;6;0.5;6;KatsuuraEvaluation;7004;1.0528299071330778e-06;3.110360343000791e-06;8106.0;6572.1339000358175
1;0;false;0;30;6;6;0.5;12;SchaffersEvaluation;16109;0.039211906249519486;0.08979648821141836;33906.0;33239.785558875075
1;0;false;0;30;6;6;0.5;12;KatsuuraEvaluation;12722;3.2156080040763936e-05;8.280845384376262e-05;41700.0;32655.933610907527
1;0;false;0;30;6;6;0.5;24;SchaffersEvaluation;15366;0.018052092469300323;0.03732852707846401;41703.0;33008.48195540049
1;0;false;0;30;6;6;0.5;24;KatsuuraEvaluation;9676;0.00020340098381415382;0.0005948885295317002;37503.0;28178.450649388087
1;0;false;0;30;12;2;0.5;2;SchaffersEvaluation;12759;7.564474939926862e-05;0.00017627040922742212;30.0;0.0
1;0;false;0;30;12;2;0.5;2;KatsuuraEvaluation;4110;7.112801367919442e-09;2.0013074452256056e-08;30.0;0.0
1;0;false;0;30;12;2;0.5;3;SchaffersEvaluation;5609;2.9051966098141218e-05;5.283543526082751e-05;30.0;0.0
1;0;false;0;30;12;2;0.5;3;KatsuuraEvaluation;8810;9.83813638826282e-08;2.950656353423391e-07;30.0;0.0
1;0;false;0;30;12;2;0.5;4;SchaffersEvaluation;26121;4.057962888411762e-06;1.178620787355962e-05;30.0;0.0
1;0;false;0;30;12;2;0.5;4;KatsuuraEvaluation;31122;3.571505140813613e-11;7.573439039779614e-11;30.0;0.0
1;0;false;0;30;12;2;0.5;6;SchaffersEvaluation;18322;1.4540620588310778e-05;3.436745640417318e-05;30.0;0.0
1;0;false;0;30;12;2;0.5;6;KatsuuraEvaluation;28403;6.009077810674499e-08;1.2012798518787588e-07;30.0;0.0
1;0;false;0;30;12;2;0.5;12;SchaffersEvaluation;32532;5.714277530025589e-08;1.1517492487875715e-07;30.0;0.0
1;0;false;0;30;12;2;0.5;12;KatsuuraEvaluation;30523;3.7986203695448907e-07;1.1389642471052432e-06;30.0;0.0
1;0;false;0;30;12;2;0.5;24;SchaffersEvaluation;9501;7.930895983864206e-05;0.0001339333456792421;30.0;0.0
1;0;false;0;30;12;2;0.5;24;KatsuuraEvaluation;5455;1.2114746796788057e-09;2.5711385282751396e-09;30.0;0.0
1;0;false;0;30;12;3;0.5;2;SchaffersEvaluation;1305;6.482196013576957e-06;1.8319783138557538e-05;30.0;0.0
1;0;false;0;30;12;3;0.5;2;KatsuuraEvaluation;10663;1.8631410499345147e-06;5.586069921233389e-06;30.0;0.0
1;0;false;0;30;12;3;0.5;3;SchaffersEvaluation;2906;0.0004971315008589917;0.0012595961194168236;30.0;0.0
1;0;false;0;30;12;3;0.5;3;KatsuuraEvaluation;13416;3.4017375806634817e-06;1.0202164062634526e-05;30.0;0.0
1;0;false;0;30;12;3;0.5;4;SchaffersEvaluation;25516;1.8446786987705065e-05;3.3505794224820546e-05;30.0;0.0
1;0;false;0;30;12;3;0.5;4;KatsuuraEvaluation;17034;5.651604259788986e-12;8.983271531843075e-12;30.0;0.0
1;0;false;0;30;12;3;0.5;6;SchaffersEvaluation;13458;4.938514316235386e-07;9.832263534655778e-07;30.0;0.0
1;0;false;0;30;12;3;0.5;6;KatsuuraEvaluation;3227;3.240489617847332e-10;6.976347686331059e-10;30.0;0.0
1;0;false;0;30;12;3;0.5;12;SchaffersEvaluation;18355;2.241733189335607e-06;4.4662299436795885e-06;30.0;0.0
1;0;false;0;30;12;3;0.5;12;KatsuuraEvaluation;13268;2.6043885927331565e-10;7.807845125184726e-10;30.0;0.0
1;0;false;0;30;12;3;0.5;24;SchaffersEvaluation;9110;0.00012443948127906974;0.00024679489977504044;30.0;0.0
1;0;false;0;30;12;3;0.5;24;KatsuuraEvaluation;16073;9.107256843481539e-10;2.7042741125598263e-09;30.0;0.0
1;0;false;0;30;12;4;0.5;2;SchaffersEvaluation;9829;9.698946789551585e-05;0.00021204230730853337;30.0;0.0
1;0;false;0;30;12;4;0.5;2;KatsuuraEvaluation;24356;2.90729090566159e-10;8.677828330788726e-10;30.0;0.0
1;0;false;0;30;12;4;0.5;3;SchaffersEvaluation;5233;1.8428971142191879e-06;4.7243037468599185e-06;30.0;0.0
1;0;false;0;30;12;4;0.5;3;KatsuuraEvaluation;10996;9.887570012785567e-13;2.5114757606195346e-12;30.0;0.0
1;0;false;0;30;12;4;0.5;4;SchaffersEvaluation;30287;4.7516234882609606e-07;9.238388848455996e-07;30.0;0.0
1;0;false;0;30;12;4;0.5;4;KatsuuraEvaluation;26746;2.1454047487064223e-10;4.122454826789217e-10;30.0;0.0
1;0;false;0;30;12;4;0.5;6;SchaffersEvaluation;24373;1.1584883538966308e-06;3.3422299706632243e-06;30.0;0.0
1;0;false;0;30;12;4;0.5;6;KatsuuraEvaluation;7285;1.0976371895818261e-11;3.259720799692495e-11;30.0;0.0
1;0;false;0;30;12;4;0.5;12;SchaffersEvaluation;5375;1.3359428112876077e-06;3.1097259083198405e-06;30.0;0.0
1;0;false;0;30;12;4;0.5;12;KatsuuraEvaluation;3411;1.7564973400051616e-08;4.5422342357070495e-08;30.0;0.0
1;0;false;0;30;12;4;0.5;24;SchaffersEvaluation;23423;0.0006311235258443446;0.0012645096250260399;30.0;0.0
1;0;false;0;30;12;4;0.5;24;KatsuuraEvaluation;27333;5.340012634172579e-10;1.59616676944489e-09;30.0;0.0
1;0;false;0;30;12;6;0.5;2;SchaffersEvaluation;24982;1.1051690994651766e-05;2.3265182465250505e-05;30.0;0.0
1;0;false;0;30;12;6;0.5;2;KatsuuraEvaluation;21715;2.002746141046037e-08;5.367647059131988e-08;30.0;0.0
1;0;false;0;30;12;6;0.5;3;SchaffersEvaluation;14074;1.131724341013419e-06;3.3479629909162543e-06;30.0;0.0
1;0;false;0;30;12;6;0.5;3;KatsuuraEvaluation;1131;1.9451590838569374e-08;4.187161836622175e-08;30.0;0.0
1;0;false;0;30;12;6;0.5;4;SchaffersEvaluation;22774;6.763911246125543e-05;0.0001241879098689176;30.0;0.0
1;0;false;0;30;12;6;0.5;4;KatsuuraEvaluation;3175;3.0346963969725557e-09;7.192549441534281e-09;30.0;0.0
1;0;false;0;30;12;6;0.5;6;SchaffersEvaluation;8728;1.7116627351963703e-06;3.7284648332730103e-06;30.0;0.0
1;0;false;0;30;12;6;0.5;6;KatsuuraEvaluation;26653;3.521439207911936e-09;8.460325201127893e-09;30.0;0.0
1;0;false;0;30;12;6;0.5;12;SchaffersEvaluation;18085;1.3192892375419964e-05;3.915552237925907e-05;30.0;0.0
1;0;false;0;30;12;6;0.5;12;KatsuuraEvaluation;5880;6.346296023797973e-09;8.699708106651189e-09;30.0;0.0
1;0;false;0;30;12;6;0.5;24;SchaffersEvaluation;16296;2.552826897143438e-06;6.594287894534322e-06;30.0;0.0
1;0;false;0;30;12;6;0.5;24;KatsuuraEvaluation;8300;1.2174218107706485e-11;2.5159989498079116e-11;30.0;0.0
1;0;false;0;30;12;12;0.5;2;SchaffersEvaluation;20808;1.7538820482703775e-05;4.991095283591839e-05;30.0;0.0
1;0;false;0;30;12;12;0.5;2;KatsuuraEvaluation;24137;4.475389416247092e-11;1.2545554151377165e-10;30.0;0.0
1;0;false;0;30;12;12;0.5;3;SchaffersEvaluation;18303;0.00022716407105362424;0.000473113764417156;30.0;0.0
1;0;false;0;30;12;12;0.5;3;KatsuuraEvaluation;31547;2.023318330456804e-10;4.153399432497624e-10;30.0;0.0
1;0;false;0;30;12;12;0.5;4;SchaffersEvaluation;12449;0.00015654536731001412;0.00046570513102121093;30.0;0.0
1;0;false;0;30;12;12;0.5;4;KatsuuraEvaluation;4367;1.7719843406895722e-05;5.31586029978494e-05;30.0;0.0
1;0;false;0;30;12;12;0.5;6;SchaffersEvaluation;15655;4.931946053750559e-07;6.935076978871157e-07;30.0;0.0
1;0;false;0;30;12;12;0.5;6;KatsuuraEvaluation;15766;2.3794766680776314e-07;4.788781640019116e-07;30.0;0.0
1;0;false;0;30;12;12;0.5;12;SchaffersEvaluation;25111;5.8901443516161044e-05;0.00011304558728853928;30.0;0.0
1;0;false;0;30;12;12;0.5;12;KatsuuraEvaluation;24247;2.1640508849736583e-10;4.0926251201811256e-10;30.0;0.0
1;0;false;0;30;12;12;0.5;24;SchaffersEvaluation;14088;0.0001835045322617212;0.0005501069762429179;30.0;0.0
1;0;false;0;30;12;12;0.5;24;KatsuuraEvaluation;3296;3.261567455299221e-08;9.077207398816746e-08;30.0;0.0
1;0;false;0;30;24;2;0.5;2;SchaffersEvaluation;13967;7.769037621116026e-05;0.00016046105830283539;30.0;0.0
1;0;false;0;30;24;2;0.5;2;KatsuuraEvaluation;5482;1.3363564601346234e-11;3.082490794158713e-11;30.0;0.0
1;0;false;0;30;24;2;0.5;3;SchaffersEvaluation;21045;3.16136732522148e-05;4.888461134944506e-05;30.0;0.0
1;0;false;0;30;24;2;0.5;3;KatsuuraEvaluation;13272;5.118316001173163e-10;1.0230817047220253e-09;30.0;0.0
1;0;false;0;30;24;2;0.5;4;SchaffersEvaluation;22727;1.6527659982802538e-07;3.0289499368297366e-07;30.0;0.0
1;0;false;0;30;24;2;0.5;4;KatsuuraEvaluation;5650;2.610057308609868e-07;7.825640486978147e-07;30.0;0.0
1;0;false;0;30;24;2;0.5;6;SchaffersEvaluation;12566;4.5625421423578764e-05;0.00013349862832389139;30.0;0.0
1;0;false;0;30;24;2;0.5;6;KatsuuraEvaluation;7701;4.744268834447889e-06;1.4200045569223926e-05;30.0;0.0
1;0;false;0;30;24;2;0.5;12;SchaffersEvaluation;24146;1.3675898240248023e-07;4.0688798162242633e-07;30.0;0.0
1;0;false;0;30;24;2;0.5;12;KatsuuraEvaluation;28578;8.817412478276956e-10;2.6375631755381616e-09;30.0;0.0
1;0;false;0;30;24;2;0.5;24;SchaffersEvaluation;9835;7.081284859201365e-05;0.00020815229132257617;30.0;0.0
1;0;false;0;30;24;2;0.5;24;KatsuuraEvaluation;19652;1.8641875066820566e-06;5.592470799071488e-06;30.0;0.0
1;0;false;0;30;24;3;0.5;2;SchaffersEvaluation;14629;2.2456065201346055e-06;4.389042747210996e-06;30.0;0.0
1;0;false;0;30;24;3;0.5;2;KatsuuraEvaluation;23492;2.0315424263975366e-11;4.926766327446674e-11;30.0;0.0
1;0;false;0;30;24;3;0.5;3;SchaffersEvaluation;10496;1.5967817810208047e-05;4.6015587112038876e-05;30.0;0.0
1;0;false;0;30;24;3;0.5;3;KatsuuraEvaluation;24438;6.817358137024448e-05;0.00020451701347116684;30.0;0.0
1;0;false;0;30;24;3;0.5;4;SchaffersEvaluation;26649;9.73792745736641e-07;2.8952460134738986e-06;30.0;0.0
1;0;false;0;30;24;3;0.5;4;KatsuuraEvaluation;14524;1.9122425771289284e-11;4.5181376503743983e-11;30.0;0.0
1;0;false;0;30;24;3;0.5;6;SchaffersEvaluation;9395;6.367308360084018e-05;0.00018001766026393403;30.0;0.0
1;0;false;0;30;24;3;0.5;6;KatsuuraEvaluation;1967;4.4832130613785884e-08;1.344958317182685e-07;30.0;0.0
1;0;false;0;30;24;3;0.5;12;SchaffersEvaluation;32518;4.603674166907675e-06;8.651879961783723e-06;30.0;0.0
1;0;false;0;30;24;3;0.5;12;KatsuuraEvaluation;22187;1.0051453336988358e-06;3.014857300126951e-06;30.0;0.0
1;0;false;0;30;24;3;0.5;24;SchaffersEvaluation;16799;1.733778239982675e-06;3.9532714957355214e-06;30.0;0.0
1;0;false;0;30;24;3;0.5;24;KatsuuraEvaluation;12482;5.164509055109569e-10;1.0057460365132308e-09;30.0;0.0
1;0;false;0;30;24;4;0.5;2;SchaffersEvaluation;31489;1.2292416818925712e-05;2.931855670580911e-05;30.0;0.0
1;0;false;0;30;24;4;0.5;2;KatsuuraEvaluation;5394;5.758022557440713e-10;1.717419593317947e-09;30.0;0.0
1;0;false;0;30;24;4;0.5;3;SchaffersEvaluation;20985;0.011080435568386966;0.03323857196397296;30.0;0.0
1;0;false;0;30;24;4;0.5;3;KatsuuraEvaluation;22202;1.2476614862681145e-09;2.662792401369864e-09;30.0;0.0
1;0;false;0;30;24;4;0.5;4;SchaffersEvaluation;30344;1.5768825074006724e-05;4.6882299226505284e-05;30.0;0.0
1;0;false;0;30;24;4;0.5;4;KatsuuraEvaluation;19304;1.5467913715079963e-09;4.604966849466692e-09;30.0;0.0
1;0;false;0;30;24;4;0.5;6;SchaffersEvaluation;30439;1.6248779076681834e-05;4.731183887217951e-05;30.0;0.0
1;0;false;0;30;24;4;0.5;6;KatsuuraEvaluation;14194;1.5966476026688196e-09;4.788230661094985e-09;30.0;0.0
1;0;false;0;30;24;4;0.5;12;SchaffersEvaluation;9511;0.0003689002839839848;0.0010687811289828552;30.0;0.0
1;0;false;0;30;24;4;0.5;12;KatsuuraEvaluation;5418;2.934623032793402e-06;7.634963801421866e-06;30.0;0.0
1;0;false;0;30;24;4;0.5;24;SchaffersEvaluation;16032;8.967542326511855e-06;1.7501685803310192e-05;30.0;0.0
