island_count;epoch_size;fitness_sharing;sigma;migration_size;population_size;parent_count;arity;recombination_p;k;evaluationName;seed;MBF;stdBF;meanConv;stdConv
1;0;false;0;0;50;6;2;0.80;3;KatsuuraEvaluation;10318;0.05819997131573161;0.09052666466209831;6842.0;3379.982721849329
1;0;false;0;0;50;6;2;0.80;6;SchaffersEvaluation;32460;1.2666307717176248;1.2881494035535852;3591.8;4289.724788375123
1;0;false;0;0;50;6;2;0.80;6;KatsuuraEvaluation;6853;0.044032584314947464;0.06441375253166919;5086.4;3130.0973531185896
1;0;false;0;0;50;6;2;0.80;12;SchaffersEvaluation;21815;1.780761364302285;1.6029148793182626;1852.4;662.7987929982975
1;0;false;0;0;50;6;2;0.80;12;KatsuuraEvaluation;3408;0.05922614742816372;0.11067792725594766;6751.4;4016.157671207643
1;0;false;0;0;50;6;2;0.80;24;SchaffersEvaluation;24122;0.7535612807395036;0.6704427168005687;1532.0;1183.6313615311146
1;0;false;0;0;50;6;2;0.80;24;KatsuuraEvaluation;19055;0.010120865634620467;0.010831018416890062;4252.4;1370.2197779918372
1;0;false;0;0;50;6;3;0.80;2;SchaffersEvaluation;2671;1.9319884439713342;1.1285891294988306;2102.0;903.6605557398199
1;0;false;0;0;50;6;3;0.80;2;KatsuuraEvaluation;8002;0.14216631854279507;0.12245988343947736;6852.2;3820.984527579247
1;0;false;0;0;50;6;3;0.80;3;SchaffersEvaluation;1720;1.33931017905565;0.7884272079897409;6492.2;9366.362472166022
1;0;false;0;0;50;6;3;0.80;3;KatsuuraEvaluation;14514;0.3427407970611529;0.8452567447962775;5547.8;3277.055928726271
1;0;false;0;0;50;6;3;0.80;6;SchaffersEvaluation;12486;1.5923558044617012;1.3890387670284148;2432.0;2243.6181493293375
1;0;false;0;0;50;6;3;0.80;6;KatsuuraEvaluation;8690;0.07804960362256982;0.10855914249756272;5351.0;1850.1790724143434
1;0;false;0;0;50;6;3;0.80;12;SchaffersEvaluation;8899;0.875829010396066;1.0010922752564122;4891.4;6066.139731328318
1;0;false;0;0;50;6;3;0.80;12;KatsuuraEvaluation;9717;0.10490456233182362;0.25787492713485366;5212.4;2421.48166212342
1;0;false;0;0;50;6;3;0.80;24;SchaffersEvaluation;10909;0.6437947443035588;1.1677078758152433;7182.2;8731.62131336443
1;0;false;0;0;50;6;3;0.80;24;KatsuuraEvaluation;22236;0.016987790646355867;0.02663473277759844;5321.0;3557.6511633379687
1;0;false;0;0;50;6;6;0.80;2;SchaffersEvaluation;29777;0.5909541930787345;0.45540482641523455;8652.2;16177.001018730265
1;0;false;0;0;50;6;6;0.80;2;KatsuuraEvaluation;26175;0.06745094543679922;0.18129246306136776;9561.2;5441.986637249304
1;0;false;0;0;50;6;6;0.80;3;SchaffersEvaluation;2028;0.5254069627186515;0.7729319185802269;6452.0;6909.157748958985
1;0;false;0;0;50;6;6;0.80;3;KatsuuraEvaluation;15613;0.06313372405531487;0.10628320778670505;7402.4;6279.216690002026
1;0;false;0;0;50;6;6;0.80;6;SchaffersEvaluation;16513;0.1408199826288225;0.1515669133589424;4761.8;12059.682697318365
1;0;false;0;0;50;6;6;0.80;6;KatsuuraEvaluation;22882;0.006323429628683453;0.017881600080603376;5562.2;3098.0540279343095
1;0;false;0;0;50;6;6;0.80;12;SchaffersEvaluation;822;0.3557932630357709;0.3817609600880892;23382.2;34626.65520606921
