islandN;epochSize;fitnessSharing;sigma;evaluationName;seed;MBF;stdBF;meanConv;stdConv
1;0;true;0.03;SchaffersEvaluation;12774;1.5264987370619516;1.759816562517582;23500.0;22677.080940897133
1;0;true;0.03;KatsuuraEvaluation;30926;0.00645738594447134;0.004628049308302425;36300.0;28071.51581229628
2;10;true;0.01;SchaffersEvaluation;7713;0.908338927749516;1.14193515387224;3100.0;3080.5843601498727
2;10;true;0.01;KatsuuraEvaluation;9575;0.20726529651165757;0.6140414135617497;40400.0;33401.197583320274
2;10;true;0.03;SchaffersEvaluation;4056;0.3672337708872691;0.34734515548277994;10100.0;12193.850909372313
2;10;true;0.03;KatsuuraEvaluation;18964;0.007626741274731225;0.009974308894991476;22000.0;27669.47776883402
2;20;true;0.01;SchaffersEvaluation;4064;0.8658643546329123;1.2046990069253205;9900.0;12070.211265756701
2;20;true;0.01;KatsuuraEvaluation;24608;0.12583608915994343;0.19139566067904087;26700.0;29319.106398388067
2;20;true;0.03;SchaffersEvaluation;30989;2.9045978982995306;2.180823765982785;8200.0;4621.688003316537
2;20;true;0.03;KatsuuraEvaluation;25112;0.004097981938970922;0.006750650021226389;25800.0;31105.62650068312
2;30;true;0.01;SchaffersEvaluation;2703;1.1015771422781677;0.888680128807179;8200.0;13724.430771438208
2;30;true;0.01;KatsuuraEvaluation;12719;0.15145740894577867;0.18515790579451663;27600.0;22433.011389467978
2;30;true;0.03;SchaffersEvaluation;13739;1.23872881865761;1.5594575907772368;13100.0;16735.889578985636
2;30;true;0.03;KatsuuraEvaluation;4912;0.005099094134217168;0.004095202754746005;31100.0;31319.163462646953
2;40;true;0.01;SchaffersEvaluation;27492;0.8199763795565518;0.9603690442576046;8500.0;9739.09646733207
2;40;true;0.01;KatsuuraEvaluation;7741;0.17961102813171087;0.27660310960702555;23100.0;21533.46233191495
2;40;true;0.03;SchaffersEvaluation;7582;1.2300523024363381;0.9650178989104592;12400.0;13690.872872099864
2;40;true;0.03;KatsuuraEvaluation;29463;0.01900728224290051;0.02316390411422464;33800.0;39303.43496438956
2;50;true;0.01;SchaffersEvaluation;16297;1.3881008039364757;0.9314184666229808;22300.0;37008.24232519021
2;50;true;0.01;KatsuuraEvaluation;29231;0.48308049152626975;0.923234810342315;26800.0;23124.878378058555
2;50;true;0.03;SchaffersEvaluation;18404;1.347023921753446;1.3648328437469919;29100.0;26394.885868288955
2;50;true;0.03;KatsuuraEvaluation;27283;0.004677854631190045;0.005986339181233528;28910.0;26124.947846837895
4;10;true;0.01;SchaffersEvaluation;22247;0.9424841495853249;0.7147993477282;3200.0;2357.9652245103193
4;10;true;0.01;KatsuuraEvaluation;29619;0.17983179404474903;0.5042611789695426;39600.0;25892.856157635448
4;10;true;0.03;SchaffersEvaluation;1618;1.457458291356539;1.0641683810252058;18700.0;18735.260873550706
4;10;true;0.03;KatsuuraEvaluation;297;0.03607297472251673;0.046915591175339826;29100.0;29327.2910443498
4;20;true;0.01;SchaffersEvaluation;14854;1.4432250564784233;1.283590361279558;9900.0;19475.369059404242
4;20;true;0.01;KatsuuraEvaluation;29548;0.6854754631859211;1.421928915570251;42100.0;29874.571126628747
4;20;true;0.03;SchaffersEvaluation;16386;1.5087212742299638;1.870317692705045;10400.0;9520.504188329523
4;20;true;0.03;KatsuuraEvaluation;25741;0.022857457751817346;0.028906315837249574;44300.0;33805.47292968995
4;30;true;0.01;SchaffersEvaluation;32570;1.62554505571821;1.7207608095536946;3800.0;2856.57137141714
4;30;true;0.01;KatsuuraEvaluation;13754;0.30285953136639543;0.5061405755854517;47900.0;31674.753353420132
4;30;true;0.03;SchaffersEvaluation;30622;2.848950819483012;1.8711921643274751;14600.0;15383.107618423528
4;30;true;0.03;KatsuuraEvaluation;21120;0.028323102582025066;0.038838540437785354;42200.0;36245.827346054604
4;40;true;0.01;SchaffersEvaluation;23157;2.351937419450562;2.168162143324234;4300.0;1951.9221295943134
4;40;true;0.01;KatsuuraEvaluation;16597;0.9859721772586175;1.7098824887825992;52700.0;25857.49407811979
4;40;true;0.03;SchaffersEvaluation;18188;2.0682405549607283;1.6647979842283689;6400.0;5730.619512757761
4;40;true;0.03;KatsuuraEvaluation;25011;0.020824635495046834;0.03027795345943657;33600.0;37229.558149405966
4;50;true;0.01;SchaffersEvaluation;19935;1.8923416371644968;1.7758642907761846;3500.0;1627.8820596099706
4;50;true;0.01;KatsuuraEvaluation;4995;1.148316230415907;2.1678774395222855;58900.0;28546.278216257895
4;50;true;0.03;SchaffersEvaluation;28160;2.2408056486535313;2.048583330120772;17600.0;22553.04857441672
4;50;true;0.03;KatsuuraEvaluation;14598;0.0368079319944888;0.052739658867646234;20900.0;21874.414277872675
5;10;true;0.01;SchaffersEvaluation;28602;1.7398150710005567;1.3978295766972682;4100.0;4548.626166217664
5;10;true;0.01;KatsuuraEvaluation;14159;1.1977528919520135;1.8014971229708747;41000.0;33334.666640001065
5;10;true;0.03;SchaffersEvaluation;7657;1.15311126324005;1.5225330749580819;5200.0;4686.149805543992
5;10;true;0.03;KatsuuraEvaluation;17637;0.014013653083584616;0.01216396449633534;29000.0;32908.96534380867
